"TwitterUserName","TwitterUser","TwitterUrl","TwitterElement","MastodonUser","MastodonInstance","MastodonAccountAddress","MastodonUrl","IsValidDomain"
"_AlexYates_","Alex Yates (Probably)","https://twitter.com/_AlexYates_","Description","@ay","awscommunity.social","@ay@awscommunity.social","https://awscommunity.social/@ay","True"
"14_15_puzzle","🐌NaN","https://twitter.com/14_15_puzzle","Description","@14_15_puzzle","ioc.exchange","@14_15_puzzle@ioc.exchange","https://ioc.exchange/@14_15_puzzle","True"
"1kevgriff","Kevin Griffin","https://twitter.com/1kevgriff","Description","@1kevgriff","bbiz.io","@1kevgriff@bbiz.io","https://bbiz.io/@1kevgriff","True"
"Abt_Benjamin","@𝙖𝙗𝙩@𝙢𝙖𝙨𝙩𝙤𝙙𝙤𝙣.𝙨𝙤𝙘𝙞𝙖𝙡 🇺🇦","https://twitter.com/Abt_Benjamin","UrlEntity","@abt","mastodon.social","@abt@mastodon.social","https://mastodon.social/@abt","True"
"AchimWieser","Achim Wieser","https://twitter.com/AchimWieser","Description","@awcoding","infosec.exchange","@awcoding@infosec.exchange","https://infosec.exchange/@awcoding","True"
"adamdriscoll","Adam Driscoll","https://twitter.com/adamdriscoll","UrlEntity","@adamdriscoll","mastodon.social","@adamdriscoll@mastodon.social","https://mastodon.social/@adamdriscoll","True"
"adrianbanks","Adrian Banks","https://twitter.com/adrianbanks","Description","@adrianbanks","mastodon.social","@adrianbanks@mastodon.social","https://mastodon.social/@adrianbanks","True"
"alastairs","Alastair Smith 🇺🇦 (He/Him/They)","https://twitter.com/alastairs","Description","@alastairs","hachyderm.io","@alastairs@hachyderm.io","https://hachyderm.io/@alastairs","True"
"ALevyInROC","Andy Levy","https://twitter.com/ALevyInROC","Description","@alevyinroc","techhub.social","@alevyinroc@techhub.social","https://techhub.social/@alevyinroc","True"
"alex_schl","Alex Schladebeck (she/her)","https://twitter.com/alex_schl","Description","@alex_schl","sw-development-is.social","@alex_schl@sw-development-is.social","https://sw-development-is.social/@alex_schl","True"
"allison_horst","Allison Horst @allison_horst@mastodon.social","https://twitter.com/allison_horst","Name","@allison_horst","mastodon.social","@allison_horst@mastodon.social","https://mastodon.social/@allison_horst","True"
"amaya30","Rebecca Long (she/her) - Moving to Mastodon","https://twitter.com/amaya30","UrlEntity","@amaya30","mastodon.spotek.io","@amaya30@mastodon.spotek.io","https://mastodon.spotek.io/@amaya30","True"
"andersom79","Michael Anderson (He/Him) 🇺🇦","https://twitter.com/andersom79","Description","@andersom79","dataplatform.social","@andersom79@dataplatform.social","https://dataplatform.social/@andersom79","True"
"andrewconnell","Andrew Connell 🏁🚀🤓🇺🇸","https://twitter.com/andrewconnell","Description","@AndrewConnell","mastodon.cloud","@AndrewConnell@mastodon.cloud","https://mastodon.cloud/@AndrewConnell","True"
"AnupWarrier","@anupwarrier@techhub.social ☁️","https://twitter.com/AnupWarrier","Name","@anupwarrier","techhub.social","@anupwarrier@techhub.social","https://techhub.social/@anupwarrier","True"
"arrowdrive","Anders Pedersen","https://twitter.com/arrowdrive","Description","@arrowdrive","techhub.social","@arrowdrive@techhub.social","https://techhub.social/@arrowdrive","True"
"arvisam","@arvisam@mstdn.social","https://twitter.com/arvisam","Name","@arvisam","mstdn.social","@arvisam@mstdn.social","https://mstdn.social/@arvisam","True"
